text,category
apples,Food
train ticket,Transport
rent apartment,Housing
medicines,Healthcare
tuition fee,Education
Bananas 6 pcs,Food
bus fare,Transport
house rent,Housing
antibiotics,Healthcare
school textbooks,Education
Milk,Food
Metro travel,Transport
flat rent,Housing
cough syrup,Healthcare
semester fee,Education
Eggs dozen,Food
Taxi ride booked,Transport
Transferred monthly rent,Housing
vitamin tablets,Healthcare
college fee,Education
tomatoes,Food
Auto-rickshaw fare,Transport
rent home,Housing
inhaler,Healthcare
online course,Education
Potatoes,Food
Petrol refill,Transport
rent flat,Housing
ointment,Healthcare
reference books,Education
onions,Food
Diesel,Transport
apartment rent,Housing
protein supplements,Healthcare
coaching institute fee,Education
Carrots,Food
Travel card recharge,Transport
Cleared electricity bill,Housing
glucose strips,Healthcare
exam fee,Education
Spinach picked up,Food
toll,Transport
electricity charges,Housing
allergy tablets,Healthcare
Registered certification exam,Education
Cauliflower,Food
Bus pass renewal,Transport
power bill,Housing
skin cream,Healthcare
MBA course fee,Education
Rice shopping,Food
Parking fee,Transport
monthly electricity,Housing
nasal spray,Healthcare
IIT entrance exam fee,Education
Wheat flour,Food
Cab pool,Transport
light charges,Housing
multivitamins,Healthcare
music class fee,Education
Cooking oil,Food
Bike rent,Transport
electric bill,Housing
herbal medicine,Healthcare
doubt clearing session,Education
Salt picked up,Food
Overnight bus coach,Transport
Electricity payment done,Housing
thermometer,Healthcare
lab kit,Education
sugar,Food
Flight booked,Transport
Gas bill,Housing
first aid kit,Healthcare
lab coat,Education
Dal,Food
Vehicle service done,Transport
cooking gas charges,Housing
BP monitor,Healthcare
calculator exams,Education
chana,Food
Car wash,Transport
Gas recharge done,Housing
contact lenses solution,Healthcare
skill development course,Education
Green peas,Food
Van service,Transport
Cooking gas refill,Housing
eye drops,Healthcare
library annual fee,Education
Cucumber,Food
Shuttle ride,Transport
Gas connection recharge,Housing
regular health insurance,Healthcare
digital learning course,Education
Lemon,Food
Ferry ride taken,Transport
Gas cylinder refill,Housing
doctor consultation,Healthcare
science kit,Education
Mangoes,Food
Luggage transported,Transport
Filled gas cylinder,Housing
health checkup,Healthcare
art supplies,Education
Oranges,Food
Scooter fare,Transport
gas supply,Housing
blood tests,Healthcare
sports academy fee,Education
Grapes,Food
Cycle hire,Transport
propane charges,Housing
dental cleaning,Healthcare
registration hackathon,Education
Watermelon picked,Food
Rickshaw ride taken,Transport
water bill,Housing
dental filling,Healthcare
project supplies,Education
Pineapple,Food
Uber ride,Transport
monthly water charge,Housing
